agent,turn,run,cache_hit_ratio
Expresser,2,8,0.5337087943218908
Expresser,3,1,0.640873240296514
Expresser,3,2,0.5921576771439572
Expresser,3,3,0.6312774159871963
Expresser,3,4,0.6196942895932287
Expresser,3,5,0.6205195087426746
Expresser,3,6,0.6254899544147452
Expresser,3,7,0.5943622494851933
Expresser,3,8,0.5628710938404786
Expresser,4,1,0.656596923973177
Expresser,4,2,0.7272724441855797
Expresser,4,3,0.6173749003350347
Expresser,4,4,0.6696006779223848
Expresser,4,5,0.6966076393548821
Expresser,4,6,0.6873116314675206
Expresser,4,7,0.673135484321872
Expresser,4,8,0.6582881432323332
Expresser,5,1,0.7726192832838403
Expresser,5,2,0.7113591078495448
Expresser,5,3,0.7287598752517274
Expresser,5,4,0.7225203713081852
Expresser,5,5,0.6585618212049325
Expresser,5,6,0.7003920742372597
Expresser,5,7,0.7354097039691103
Expresser,5,8,0.6999066606515448
Expresser,6,1,0.6932863258979028
Expresser,6,2,0.6724058719172264
Expresser,6,3,0.7151118067714867
Expresser,6,4,0.7020683841699376
Expresser,6,5,0.7514800342512776
Expresser,6,6,0.6456023683336427
Expresser,6,7,0.7095419401457206
Expresser,6,8,0.6802010808409107
Reviewer,1,1,0.5011416660578963
Reviewer,1,2,0.49378705204604073
Reviewer,1,3,0.5062645089426543
Reviewer,1,4,0.5113670895132413
Reviewer,1,5,0.479252224654474
Reviewer,1,6,0.44483315839767407
Reviewer,1,7,0.49245060593588513
Reviewer,1,8,0.4756332632245195
Reviewer,2,1,0.7086358693396468
Reviewer,2,2,0.6698251887783727
Reviewer,2,3,0.7101040059776713
Reviewer,2,4,0.675133672221169
Reviewer,2,5,0.710091006031615
Reviewer,2,6,0.6871805238816058
Reviewer,2,7,0.6888611354302054
Reviewer,2,8,0.6903856694155233
Reviewer,3,1,0.7423044806000377
Reviewer,3,2,0.7498472165543779
Reviewer,3,3,0.786280469539987
Reviewer,3,4,0.7798629524636399
Reviewer,3,5,0.7625708993270129
Reviewer,3,6,0.7586749172918682
Reviewer,3,7,0.7778065728310015
Reviewer,3,8,0.7254848241900848
Reviewer,4,1,0.776884949548456
Reviewer,4,2,0.8421730190064198
Reviewer,4,3,0.8809603470591301
Reviewer,4,4,0.8325271777118369
Reviewer,4,5,0.8073940634840502
Reviewer,4,6,0.8464504666576746
Reviewer,4,7,0.7871057307895041
Reviewer,4,8,0.819907103938264
Reviewer,5,1,0.8744605486941306
Reviewer,5,2,0.8338033520673005
Reviewer,5,3,0.848301915473526
Reviewer,5,4,0.843821665527622
Reviewer,5,5,0.7929618472501058
Reviewer,5,6,0.8741238995999495
Reviewer,5,7,0.8207570956993044
Reviewer,5,8,0.8419490067775232
Reviewer,6,1,0.8619569280941656
Reviewer,6,2,0.811007094157808
Reviewer,6,3,0.8592378771097956
Reviewer,6,4,0.8418916773939759
Reviewer,6,5,0.8175016540361952
Reviewer,6,6,0.8505091882650035
Reviewer,6,7,0.8038262744768332
Reviewer,6,8,0.8042764088627818
